family,n_models,median_abs_residual_grp05,median_abs_residual_grp10
human_as_qtable,2,0.04233668833057885,0.06357450971205528
baseline,4,0.06889625485250966,0.09259259259259256
energy_budget,6,0.07713452631530604,0.09883147035716372
historical_dynamics,5,0.14975402733716603,0.13139143079739868
rl_action_value,5,0.1511104330217019,0.12156601362678732
rl_state_action,2,0.20746729814937892,0.13711008269636396
